Date (MM/DD/YYYY),File,Gtype,Flight Time,Start Time,End Time,Landing,Sensor Info,Sensor Info (300),Sensor Info (400),Sensor Info (500),Sensor Info (600),Sensor Info (700)
8/28/2024,4536-9239003639.igc,AS33Es18m,3:47:11,182314,221025,HOME,"AS33Es18m's ENL monitor reports Engine Run 3 minutes, starts at T=182314 and: 964 msl [33 agl]; Height gain/loss is: 1929
AS33Es18m's ENL monitor reports Engine Run 8 minutes, starts at T=211926 and: 1486 msl [656 agl]; Height gain/loss is: 3438
AS33Es18m Motor noise registered by ENL sensor at t=['182315', '182627', '211926', '212802'] and [27, 1988, 656, 4157]AGL",,,,,
8/18/2024,4536-9239003358.igc,JS-3-18m,4:52:41,190038,235319,HOME,"JS-3-18m Motor noise registered by ENL sensor at t=['235317', '235319'] and [98, 95]AGL",JS-3-18m Motor noise registered by MOP sensor (threshold 300) at t=['235318'] and [95]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 400) at t=['235318'] and [95]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 500) at t=['235318'] and [95]AGL,,
8/26/2024,4536-9239003561.igc,18mAS33@ventus,4:29:19,172323,215242,HOME,"18mAS33@ventus Motor noise registered by ENL sensor at t=['172338', '172339', '172740', '172756', '215235', '215237'] and [46, 39, 2234, 2235, 99, 95]AGL",,,,,
8/30/2024,4536-9241100606.igc,EB29R,4:17:08,181843,223551,HOME,"EB29R Motor noise registered by ENL sensor at t=['181852', '181853'] and [0, 0]AGL",,,,,
8/16/2024,4536-9241100381.igc,JS-1-21m,5:07:52,180042,230834,HOME,,"JS-1-21m Motor noise registered by MOP sensor (threshold 300) at t=['230224', '230400'] and [1598, 762]AGL","JS-1-21m Motor noise registered by MOP sensor (threshold 400) at t=['230232', '230400'] and [1486, 762]AGL",,,
8/20/2024,4536-9240051845.igc,ArcusT, 4:49:51,195422,4413,HOME,,,,,,
8/18/2024,4536-9239003338.igc,JS-3-18m,5:02:01,182337,232538,HOME,"JS-3-18m Motor noise registered by ENL sensor at t=['232521', '232522', '232527', '232530'] and [76, 76, 78, 78]AGL",,,,,
8/12/2024,4536-9241100318.igc,EB29R, 6:19:57,175948,1945,HOME,"EB29R's ENL monitor reports Engine Run 4 minutes, starts at T=175955 and: 938 msl [0 agl]; Height gain/loss is: 1850
EB29R Motor noise registered by ENL sensor at t=['175955', '180406'] and [0, 1863]AGL",,,,,
8/28/2024,4536-9240051956.igc,ArcusM,3:19:12,173532,205444,HOME,"ArcusM's ENL monitor reports Engine Run 8 minutes, starts at T=194110 and: 2076 msl [1410 agl]; Height gain/loss is: 2175
ArcusM's ENL monitor reports Engine Run 6 minutes, starts at T=202910 and: 2503 msl [1870 agl]; Height gain/loss is: 1624
ArcusM Motor noise registered by ENL sensor at t=['183653', '183654', '194110', '194941', '195004', '195005', '202910', '203524', '205437', '205440'] and [3865, 3859, 1410, 3625, 3297, 3291, 1870, 3406, 76, 76]AGL",,,,,
8/24/2024,4536-9239003553.igc,Ventus3T,3:31:41,192900,230041,HOME,"Ventus3T Motor noise registered by ENL sensor at t=['193733', '193734', '193738', '193739', '194147', '194148'] and [2122, 2096, 2172, 2132, 4416, 4436]AGL",,,,,
8/28/2024,4536-9241100565.igc,JS5,3:23:36,175311,211647,HOME,"JS5's MOP monitor reports Engine Run 22 minutes, starts at T=202807 and: 1535 msl [915 agl]; Height gain/loss is: 3638","JS5 Motor noise registered by MOP sensor (threshold 300) at t=['202807', '205015'] and [915, 4570]AGL","JS5 Motor noise registered by MOP sensor (threshold 400) at t=['202807', '205015'] and [915, 4570]AGL","JS5 Motor noise registered by MOP sensor (threshold 500) at t=['202807', '205015'] and [915, 4570]AGL","JS5 Motor noise registered by MOP sensor (threshold 600) at t=['202808', '205015'] and [915, 4570]AGL","JS5 Motor noise registered by MOP sensor (threshold 700) at t=['202808', '205015'] and [915, 4570]AGL"
8/23/2024,4536-9241100502.igc,JS-5-24m, 6:06:42,183428,4110,HOME,,,,,,
8/21/2024,4536-9239003460.igc,JS-3-18m,4:08:05,192321,233126,HOME,"JS-3-18m's MOP monitor reports Engine Run 4 minutes, starts at T=192321 and: 944 msl [0 agl]; Height gain/loss is: 1559
JS-3-18m Motor noise registered by ENL sensor at t=['192322', '192336', '192649', '192651', '192701', '192722'] and [0, 36, 1135, 1149, 1270, 1486]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 300) at t=['192322', '192730'] and [0, 1545]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 400) at t=['192322', '192730'] and [0, 1545]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 500) at t=['192322', '192730'] and [0, 1545]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 600) at t=['192322', '192730'] and [0, 1545]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 700) at t=['192322', '192730'] and [0, 1545]AGL"
8/19/2024,4536-9239003395.igc,JS-3-18m,5:20:11,181250,233301,HOME,,,,,,
8/21/2024,4536-9240051870.igc,ASG32Mi, 4:33:27,194307,1634,HOME,"ASG32Mi Motor noise registered by ENL sensor at t=['001627', '001631'] and [72, 72]AGL",,,,,
8/22/2024,4536-9240051873.igc,ArcusM, 5:30:29,183008,37,HOME,,,,,,
8/18/2024,4536-9239003355.igc,ASG29,4:59:52,183838,233830,HOME,,,,,,
8/24/2024,4536-9239003549.igc,JS-3-18m,4:53:16,183959,233315,HOME,,,,,,
8/15/2024,4536-9241100363.igc,JS-1-21m,4:47:06,173113,221819,HOME,,,,,,
8/28/2024,4536-9240051954.igc,ArcusM,3:21:03,174342,210445,HOME,"ArcusM's ENL monitor reports Engine Run 8 minutes, starts at T=194626 and: 1384 msl [610 agl]; Height gain/loss is: 3570
ArcusM's ENL monitor reports Engine Run 3 minutes, starts at T=205007 and: 3277 msl [2539 agl]; Height gain/loss is: 830
ArcusM Motor noise registered by ENL sensor at t=['194626', '195525', '205007', '205319'] and [610, 4249, 2539, 3320]AGL",,,,,
8/19/2024,4536-9239003398.igc,18m_N369QT_JS-3,4:55:10,183815,233325,HOME,"18m_N369QT_JS-3 Motor noise registered by ENL sensor at t=['183817', '183823', '183824', '183828', '183859', '183900', '184040', '184041'] and [0, -16, -22, -16, 328, 338, 1627, 1653]AGL",,,,,
8/16/2024,4536-9239003309.igc,AS33Es18m,5:59:33,172916,232849,HOME,,,,,,
8/29/2024,4536-9239003682.igc,JS-3-18m,6:00:32,174119,234151,HOME,"JS-3-18m's MOP monitor reports Engine Run 360 minutes, starts at T=174119 and: 941 msl [33 agl]; Height gain/loss is: 115
JS-3-18m Motor noise registered by ENL sensor at t=['234125', '234126'] and [115, 115]AGL",JS-3-18m Motor noise registered by MOP sensor (threshold 300) at t=['174120'] and [36]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 400) at t=['174120'] and [36]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 500) at t=['174120'] and [36]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 600) at t=['174120'] and [36]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 700) at t=['174120'] and [36]AGL
8/30/2024,4536-9240051992.igc,ArcusM,4:52:17,180020,225237,HOME,"ArcusM's ENL monitor reports Engine Run 6 minutes, starts at T=180020 and: 935 msl [10 agl]; Height gain/loss is: 2070
ArcusM Motor noise registered by ENL sensor at t=['180021', '180629', '225206', '225213'] and [10, 2149, 95, 101]AGL",,,,,
8/30/2024,4536-9239003702.igc,JS-3-18m,4:02:50,183419,223709,HOME,"JS-3-18m Motor noise registered by ENL sensor at t=['223658', '223704'] and [82, 82]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 300) at t=['193314', '193317', '205318', '205326', '211654', '211658', '223143', '223147'] and [2444, 2523, 4036, 3858, 4118, 4048, 1377, 1338]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 400) at t=['193314', '193317', '205318', '205326', '211654', '211658', '223143', '223147'] and [2444, 2523, 4036, 3858, 4118, 4048, 1377, 1338]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 500) at t=['193314', '193317', '205318', '205326', '211654', '211658', '223143', '223147'] and [2444, 2523, 4036, 3858, 4118, 4048, 1377, 1338]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 600) at t=['205319', '205326'] and [4005, 3858]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 700) at t=['205319', '205326'] and [4005, 3858]AGL"
8/19/2024,4536-9241100437.igc,EB29R,5:16:12,181201,232813,HOME,"EB29R's ENL monitor reports Engine Run 4 minutes, starts at T=181219 and: 1007 msl [76 agl]; Height gain/loss is: 1955
EB29R Motor noise registered by ENL sensor at t=['181219', '181623'] and [76, 2087]AGL",,,,,
8/28/2024,4536-9241100577.igc,JS-5,3:33:40,175446,212826,HOME,"JS-5's MOP monitor reports Engine Run 22 minutes, starts at T=203828 and: 1486 msl [873 agl]; Height gain/loss is: 1909
JS-5's MOP monitor reports Engine Run 8 minutes, starts at T=210247 and: 3822 msl [3239 agl]; Height gain/loss is: 1000
JS-5 Motor noise registered by ENL sensor at t=['212758', '212759'] and [82, 85]AGL","JS-5 Motor noise registered by MOP sensor (threshold 300) at t=['203828', '210056', '210151', '210159', '210247', '211124'] and [873, 2818, 3153, 3169, 3239, 4153]AGL","JS-5 Motor noise registered by MOP sensor (threshold 400) at t=['203828', '210056', '210151', '210159', '210247', '211124'] and [873, 2818, 3153, 3169, 3239, 4153]AGL","JS-5 Motor noise registered by MOP sensor (threshold 500) at t=['203828', '210056', '210151', '210159', '210247', '211124'] and [873, 2818, 3153, 3169, 3239, 4153]AGL","JS-5 Motor noise registered by MOP sensor (threshold 600) at t=['203828', '210056', '210152', '210159', '210248', '211124'] and [873, 2818, 3153, 3169, 3231, 4153]AGL","JS-5 Motor noise registered by MOP sensor (threshold 700) at t=['203828', '210056', '210152', '210159', '210248', '211124'] and [873, 2818, 3153, 3169, 3231, 4153]AGL"
8/15/2024,4536-9239003291.igc,ASG29,5:31:44,173231,230415,HOME,,,,,,
8/15/2024,4536-9240051782.igc,ArcusM,4:12:05,180816,222021,HOME,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=180816 and: 918 msl [-29 agl]; Height gain/loss is: 2054
ArcusM Motor noise registered by ENL sensor at t=['180817', '181318', '221602', '221619'] and [-35, 2057, 1536, 1444]AGL",,,,,
8/13/2024,4536-9239003228.igc,JS3-18m,5:31:44,174101,231245,HOME,"JS3-18m Motor noise registered by ENL sensor at t=['174103', '174104'] and [40, 40]AGL",,,,,
8/28/2024,4536-9240051968.igc,ArcusM,3:24:40,173356,205836,HOME,"ArcusM's ENL monitor reports Engine Run 4 minutes, starts at T=173356 and: 928 msl [-2 agl]; Height gain/loss is: 1962
ArcusM's ENL monitor reports Engine Run 11 minutes, starts at T=194839 and: 1256 msl [436 agl]; Height gain/loss is: 3497
ArcusM's ENL monitor reports Engine Run 4 minutes, starts at T=200944 and: 2440 msl [1975 agl]; Height gain/loss is: 1746
ArcusM Motor noise registered by ENL sensor at t=['173357', '173845', '194839', '200023', '200944', '201405', '205805', '205824'] and [-5, 2008, 436, 4150, 1975, 3625, 59, 92]AGL",,,,,
8/26/2024,4536-9239003578.igc,AS33ES/18m,4:36:22,170806,214428,HOME,,,,,,
8/11/2024,4536-9239003158.igc,JS-3-18m,4:01:46,183701,223847,HOME,,"JS-3-18m Motor noise registered by MOP sensor (threshold 300) at t=['222037', '222041', '222556', '222735', '222819', '222822', '222827', '222838'] and [4393, 4350, 3504, 2779, 2382, 2388, 2379, 2339]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 400) at t=['222037', '222041', '222556', '222735', '222819', '222822', '222827', '222838'] and [4393, 4350, 3504, 2779, 2382, 2388, 2379, 2339]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 500) at t=['222037', '222041', '222556', '222735', '222819', '222822', '222827', '222838'] and [4393, 4350, 3504, 2779, 2382, 2388, 2379, 2339]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 600) at t=['222602', '222735', '222828', '222838'] and [3501, 2779, 2372, 2339]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 700) at t=['222604', '222735', '222828', '222838'] and [3487, 2779, 2372, 2339]AGL"
8/15/2024,4536-9241100364.igc,JS-1-21m,4:12:26,175009,220235,HOME,,"JS-1-21m Motor noise registered by MOP sensor (threshold 300) at t=['215703', '215840'] and [1365, 824]AGL",,,,
8/29/2024,4536-9239003676.igc,JS-3-18m,6:01:39,175358,235537,HOME,,,,,,
8/12/2024,4536-9239003175.igc,JS-3-18m,3:53:16,183256,222612,HOME,"JS-3-18m Motor noise registered by ENL sensor at t=['222609', '222612'] and [75, 72]AGL",,,,,
8/30/2024,4536-9239003694.igc,JS-3-18m,4:17:46,181258,223044,HOME,"JS-3-18m Motor noise registered by ENL sensor at t=['181305', '181312', '181359', '181400', '181424', '181426', '181447', '181448', '181640', '181643', '181645', '181647', '181701', '181702', '181737', '181739', '181751', '181752', '182029', '182031', '182042', '182046', '182121', '182122', '182215', '182221', '223024', '223031'] and [30, 16, 364, 364, 515, 515, 774, 787, 2041, 2067, 2064, 2077, 2133, 2113, 2156, 2126, 2031, 2014, 3612, 3632, 3740, 3793, 4173, 4183, 4734, 4800, 85, 89]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 300) at t=['181344', '181348', '222318', '222322', '223019', '223024', '223029', '223033'] and [226, 283, 1414, 1446, 82, 85, 89, 85]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 400) at t=['181344', '181348', '222318', '222322', '223019', '223024', '223029', '223033'] and [226, 283, 1414, 1446, 82, 85, 89, 85]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 500) at t=['181344', '181348', '222318', '222322', '223019', '223024', '223029', '223033'] and [226, 283, 1414, 1446, 82, 85, 89, 85]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 600) at t=['223020', '223024'] and [85, 85]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 700) at t=['223020', '223024'] and [85, 85]AGL"
8/24/2024,4536-9241100522.igc,EB29R,4:34:30,183145,230615,HOME,"EB29R's ENL monitor reports Engine Run 4 minutes, starts at T=183151 and: 935 msl [23 agl]; Height gain/loss is: 1929
EB29R Motor noise registered by ENL sensor at t=['183151', '183629'] and [23, 1982]AGL",,,,,
8/11/2024,4536-9240051728.igc,ArcusM,3:44:33,184024,222457,HOME,"ArcusM's ENL monitor reports Engine Run 6 minutes, starts at T=184024 and: 925 msl [-22 agl]; Height gain/loss is: 1706
ArcusM's ENL monitor reports Engine Run 1 minutes, starts at T=221956 and: 2874 msl [2035 agl]; Height gain/loss is: -716
ArcusM Motor noise registered by ENL sensor at t=['184025', '184652', '221352', '221354', '221654', '221707', '221914', '221922', '221956', '222108', '222130', '222137'] and [-22, 1742, 4357, 4344, 3284, 3169, 2431, 2294, 2035, 1266, 1112, 1161]AGL",,,,,
8/23/2024,4536-9239003525.igc,AS33Es, 5:46:32,183650,2322,HOME,,,,,,
8/22/2024,4536-9240051883.igc,HpHTwinshark,5:13:37,183051,234428,HOME,"HpHTwinshark's ENL monitor reports Engine Run 3 minutes, starts at T=183336 and: 1771 msl [810 agl]; Height gain/loss is: 1244
HpHTwinshark Motor noise registered by ENL sensor at t=['183336', '183726'] and [810, 2146]AGL",,,,,
8/20/2024,4536-9241100447.igc,EB29RGBD, 5:14:07,190515,1922,HOME,"EB29RGBD's ENL monitor reports Engine Run 5 minutes, starts at T=190515 and: 912 msl [-18 agl]; Height gain/loss is: 2162
EB29RGBD Motor noise registered by ENL sensor at t=['190516', '191113', '191116', '191117', '001901', '001913'] and [-18, 2205, 2188, 2179, 56, 59]AGL",,,,,
8/15/2024,4536-9240051790.igc,ASG32Mi,4:37:46,180041,223827,HOME,"ASG32Mi's ENL monitor reports Engine Run 6 minutes, starts at T=180041 and: 948 msl [10 agl]; Height gain/loss is: 1696
ASG32Mi Motor noise registered by ENL sensor at t=['180042', '180718', '193916', '193917', '203427', '203428', '223040', '223041', '223110', '223111', '223822', '223823'] and [10, 1749, 5052, 5039, 4170, 4166, 3153, 3136, 2914, 2887, 91, 91]AGL",,,,,
8/24/2024,4536-9239003538.igc,Ventus3T,4:31:35,184848,232023,HOME,,,,,,
8/14/2024,4536-9240051771.igc,ArcusM,6:00:03,173332,233335,HOME,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=173332 and: 938 msl [7 agl]; Height gain/loss is: 1981
ArcusM Motor noise registered by ENL sensor at t=['173333', '173903'] and [7, 2034]AGL",,,,,
8/30/2024,4536-9239003700.igc,JS-3-18m,3:58:07,183508,223315,HOME,,"JS-3-18m Motor noise registered by MOP sensor (threshold 300) at t=['194413', '194426', '194434', '194440', '194513', '194517', '194800', '194809', '194820', '194832', '195038', '195100', '204534', '204538', '215212', '215219', '215220', '215226', '215233', '215240', '215245', '215253', '221943', '221959', '222023', '222032', '222038', '222044', '222049', '222057', '222059', '222115', '222122', '222133', '222137', '222152', '222155', '222159', '222204', '222210', '222222', '222229', '222247', '222250', '222300', '222304', '222306', '222310', '222342', '222346', '222352', '222356', '222407', '222411', '222431', '222441', '222513', '222532', '222533', '222537', '223310', '223314'] and [3540, 3481, 3662, 3885, 3320, 3635, 4029, 3983, 3881, 3835, 3596, 3760, 5696, 5667, 5902, 5873, 5869, 5830, 5810, 5821, 5814, 5777, 4055, 3918, 3783, 3704, 3636, 3599, 3560, 3520, 3533, 3435, 3402, 3363, 3379, 3418, 3402, 3372, 3356, 3337, 3241, 3147, 2837, 2802, 2684, 2638, 2644, 2635, 2523, 2471, 2399, 2352, 2257, 2205, 1988, 1824, 1591, 1522, 1499, 1483, 76, 75]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 400) at t=['194413', '194426', '194434', '194440', '194513', '194517', '194800', '194809', '194820', '194832', '195038', '195100', '204534', '204538', '215212', '215219', '215220', '215226', '215233', '215240', '215245', '215253', '221943', '221959', '222023', '222032', '222038', '222044', '222049', '222057', '222059', '222115', '222122', '222133', '222137', '222152', '222155', '222159', '222204', '222210', '222222', '222229', '222247', '222250', '222300', '222304', '222306', '222310', '222342', '222346', '222352', '222356', '222407', '222411', '222431', '222441', '222513', '222532', '222533', '222537', '223310', '223314'] and [3540, 3481, 3662, 3885, 3320, 3635, 4029, 3983, 3881, 3835, 3596, 3760, 5696, 5667, 5902, 5873, 5869, 5830, 5810, 5821, 5814, 5777, 4055, 3918, 3783, 3704, 3636, 3599, 3560, 3520, 3533, 3435, 3402, 3363, 3379, 3418, 3402, 3372, 3356, 3337, 3241, 3147, 2837, 2802, 2684, 2638, 2644, 2635, 2523, 2471, 2399, 2352, 2257, 2205, 1988, 1824, 1591, 1522, 1499, 1483, 76, 75]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 500) at t=['194413', '194426', '194434', '194440', '194513', '194517', '194800', '194809', '194820', '194832', '195038', '195100', '204534', '204538', '215212', '215219', '215220', '215226', '215233', '215240', '215245', '215253', '221943', '221959', '222023', '222032', '222038', '222044', '222049', '222057', '222059', '222115', '222122', '222133', '222137', '222152', '222155', '222159', '222204', '222210', '222222', '222229', '222247', '222250', '222300', '222304', '222306', '222310', '222342', '222346', '222352', '222356', '222407', '222411', '222431', '222441', '222513', '222532', '222533', '222537', '223310', '223314'] and [3540, 3481, 3662, 3885, 3320, 3635, 4029, 3983, 3881, 3835, 3596, 3760, 5696, 5667, 5902, 5873, 5869, 5830, 5810, 5821, 5814, 5777, 4055, 3918, 3783, 3704, 3636, 3599, 3560, 3520, 3533, 3435, 3402, 3363, 3379, 3418, 3402, 3372, 3356, 3337, 3241, 3147, 2837, 2802, 2684, 2638, 2644, 2635, 2523, 2471, 2399, 2352, 2257, 2205, 1988, 1824, 1591, 1522, 1499, 1483, 76, 75]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 600) at t=['194414', '194426', '194435', '194440', '194800', '194809', '194821', '194832', '195039', '195100', '215212', '215219', '215222', '215226', '215234', '215240', '215246', '215253', '221944', '221959', '222024', '222032', '222039', '222044', '222050', '222057', '222100', '222115', '222129', '222133', '222138', '222152', '222205', '222210', '222353', '222356', '222435', '222441', '222515', '222532'] and [3526, 3481, 3737, 3885, 4029, 3983, 3874, 3835, 3586, 3760, 5902, 5873, 5853, 5830, 5824, 5821, 5804, 5777, 4055, 3918, 3770, 3704, 3625, 3599, 3560, 3520, 3527, 3435, 3347, 3363, 3385, 3418, 3356, 3337, 2392, 2352, 1932, 1824, 1575, 1522]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 700) at t=['194414', '194426', '194435', '194440', '194800', '194809', '194821', '194832', '195039', '195100', '215212', '215219', '215234', '215240', '215246', '215253', '221944', '221959', '222024', '222032', '222039', '222044', '222050', '222057', '222100', '222115', '222138', '222152', '222205', '222210', '222353', '222356', '222435', '222441', '222516', '222532'] and [3526, 3481, 3737, 3885, 4029, 3983, 3874, 3835, 3586, 3760, 5902, 5873, 5824, 5821, 5804, 5777, 4055, 3918, 3770, 3704, 3625, 3599, 3560, 3520, 3527, 3435, 3385, 3418, 3356, 3337, 2392, 2352, 1932, 1824, 1565, 1522]AGL"
8/22/2024,4536-9240051888.igc,ArcusM,4:55:26,184410,233936,HOME,"ArcusM's ENL monitor reports Engine Run 6 minutes, starts at T=184410 and: 925 msl [-15 agl]; Height gain/loss is: 2027
ArcusM Motor noise registered by ENL sensor at t=['184411', '185052'] and [-19, 2077]AGL",,,,,
8/30/2024,4536-9240051985.igc,ArcusM,4:44:42,174619,223101,HOME,,,,,,
8/14/2024,4536-9239003247.igc,Ventus3M,4:37:58,175443,223241,HOME,"Ventus3M Motor noise registered by ENL sensor at t=['223232', '223235'] and [108, 111]AGL",,,,,
8/15/2024,4536-9241100358.igc,JS-1,5:17:18,173830,225548,HOME,,,,,,
8/29/2024,4536-9240051978.igc,ArcusM,5:20:23,181326,233349,HOME,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=181326 and: 935 msl [-12 agl]; Height gain/loss is: 2148
ArcusM Motor noise registered by ENL sensor at t=['181327', '181843', '233312', '233313'] and [-16, 2211, 72, 78]AGL",,,,,
8/26/2024,4536-9241100543.igc,JS-5,4:31:43,171413,214556,HOME,,"JS-5 Motor noise registered by MOP sensor (threshold 300) at t=['200238', '200242', '201327', '201331', '214537', '214547'] and [4317, 4426, 4944, 4911, 69, 69]AGL","JS-5 Motor noise registered by MOP sensor (threshold 400) at t=['200238', '200242', '201327', '201331', '214537', '214547'] and [4317, 4426, 4944, 4911, 69, 69]AGL","JS-5 Motor noise registered by MOP sensor (threshold 500) at t=['200238', '200242', '201327', '201331', '214537', '214547'] and [4317, 4426, 4944, 4911, 69, 69]AGL","JS-5 Motor noise registered by MOP sensor (threshold 600) at t=['214538', '214547'] and [72, 69]AGL","JS-5 Motor noise registered by MOP sensor (threshold 700) at t=['214538', '214547'] and [72, 69]AGL"
8/30/2024,4536-9240051988.igc,ArcusM,4:15:39,180109,221648,HOME,"ArcusM Motor noise registered by ENL sensor at t=['220939', '220940', '221642', '221645'] and [2165, 2158, 105, 99]AGL",,,,,
8/13/2024,4536-9240051757.igc,ArcusM,3:58:18,184955,224813,HOME,,,,,,
8/23/2024,4536-9239003498.igc,JS-3-18m, 6:13:38,182134,3512,HOME,"JS-3-18m Motor noise registered by ENL sensor at t=['003441', '003442'] and [49, 49]AGL",,,,,
8/30/2024,4536-9239003704.igc,JS-3-18m_MM,4:18:14,182036,223850,HOME,"JS-3-18m_MM Motor noise registered by ENL sensor at t=['223840', '223842'] and [85, 88]AGL",,,,,
8/22/2024,4536-9239003468.igc,JS-3-18m, 5:46:02,182240,842,HOME,"JS-3-18m Motor noise registered by ENL sensor at t=['000302', '000303'] and [1398, 1411]AGL",,,,,
8/30/2024,4536-9239003697.igc,JS-3-18m,4:39:26,174852,222818,HOME,,,,,,
8/26/2024,4536-9239003562.igc,JS-3-18m,5:15:57,163111,214708,HOME,"JS-3-18m Motor noise registered by ENL sensor at t=['214657', '214700'] and [118, 114]AGL",,,,,
8/26/2024,4536-9239003588.igc,JS-3-18m,4:44:04,172413,220817,HOME,"JS-3-18m's MOP monitor reports Engine Run 5 minutes, starts at T=172413 and: 931 msl [-12 agl]; Height gain/loss is: 1719
JS-3-18m Motor noise registered by ENL sensor at t=['172414', '172430', '172818', '172822', '172912', '172920'] and [-8, 36, 1184, 1158, 1499, 1559]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 300) at t=['172414', '173000'] and [-8, 1745]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 400) at t=['172414', '173000'] and [-8, 1745]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 500) at t=['172414', '173000'] and [-8, 1745]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 600) at t=['172414', '173000'] and [-8, 1745]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 700) at t=['172414', '173000'] and [-8, 1745]AGL"
8/20/2024,4536-9239003424.igc,JS3-18m, 5:13:31,194551,5922,HOME,"JS3-18m's MOP monitor reports Engine Run 4 minutes, starts at T=005138 and: 1243 msl [276 agl]; Height gain/loss is: 574","JS3-18m Motor noise registered by MOP sensor (threshold 300) at t=['005138', '005547'] and [276, 905]AGL","JS3-18m Motor noise registered by MOP sensor (threshold 400) at t=['005138', '005547'] and [276, 905]AGL","JS3-18m Motor noise registered by MOP sensor (threshold 500) at t=['005138', '005547'] and [276, 905]AGL","JS3-18m Motor noise registered by MOP sensor (threshold 600) at t=['005139', '005547'] and [273, 905]AGL","JS3-18m Motor noise registered by MOP sensor (threshold 700) at t=['005139', '005547'] and [273, 905]AGL"
