Date (MM/DD/YYYY),File,Gtype,Flight Time,Start Time,End Time,Landing,Sensor Info,Sensor Info (300),Sensor Info (400),Sensor Info (500),Sensor Info (600),Sensor Info (700)
8/29/2024,4536-9241100584.igc,JS-1-21m,6:13:44,174051,235435,HOME,"JS-1-21m's MOP monitor reports Engine Run 92 minutes, starts at T=222227 and: 4284 msl [3487 agl]; Height gain/loss is: -3238",JS-1-21m Motor noise registered by MOP sensor (threshold 300) at t=['222227'] and [3487]AGL,JS-1-21m Motor noise registered by MOP sensor (threshold 400) at t=['222227'] and [3487]AGL,JS-1-21m Motor noise registered by MOP sensor (threshold 500) at t=['222227'] and [3487]AGL,JS-1-21m Motor noise registered by MOP sensor (threshold 600) at t=['222227'] and [3487]AGL,JS-1-21m Motor noise registered by MOP sensor (threshold 700) at t=['222227'] and [3487]AGL
8/29/2024,4536-9241100587.igc,JS-5-24m,6:11:57,174222,235419,HOME,,,,,,
8/24/2024,4536-9239003540.igc,JS-3-18m,4:36:32,183902,231534,HOME,JS-3-18m Motor noise registered by ENL sensor at t=['231532'] and [82]AGL,"JS-3-18m Motor noise registered by MOP sensor (threshold 300) at t=['183905', '183913', '230945', '230951', '231000', '231004', '231024', '231027', '231111', '231137'] and [20, -16, 2386, 2379, 2349, 2336, 2323, 2310, 1729, 1851]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 400) at t=['183905', '183913', '230945', '230951', '231000', '231004', '231024', '231027', '231111', '231137'] and [20, -16, 2386, 2379, 2349, 2336, 2323, 2310, 1729, 1851]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 500) at t=['183905', '183913', '230945', '230951', '231000', '231004', '231024', '231027', '231111', '231137'] and [20, -16, 2386, 2379, 2349, 2336, 2323, 2310, 1729, 1851]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 600) at t=['183906', '183913', '230946', '230951', '231112', '231137'] and [13, -16, 2382, 2379, 1719, 1851]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 700) at t=['183906', '183913', '230946', '230951', '231112', '231137'] and [13, -16, 2382, 2379, 1719, 1851]AGL"
8/18/2024,4536-9239003364.igc,JS-3-18m,5:32:34,181449,234723,HOME,"JS-3-18m's MOP monitor reports Engine Run 4 minutes, starts at T=181449 and: 944 msl [36 agl]; Height gain/loss is: 1910
JS-3-18m Motor noise registered by ENL sensor at t=['181450', '181507', '181900', '181905'] and [33, 69, 1621, 1611]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 300) at t=['181450', '181935'] and [33, 1939]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 400) at t=['181450', '181935'] and [33, 1939]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 500) at t=['181450', '181935'] and [33, 1939]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 600) at t=['181450', '181935'] and [33, 1939]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 700) at t=['181450', '181935'] and [33, 1939]AGL"
8/12/2024,4536-9239003187.igc,JS-3-18m_MM,3:07:17,192604,223321,HOME,,,,,,
8/12/2024,4536-9239003194.igc,JS-3-18m,4:59:07,175417,225324,HOME,"JS-3-18m's RPM monitor reports Engine Run 182 minutes, starts at T=180143 and: 3441 msl [2520 agl]; Height gain/loss is: 1394
JS-3-18m's RPM monitor reports Engine Run 1 minutes, starts at T=224442 and: 3638 msl [2671 agl]; Height gain/loss is: 187","JS-3-18m Motor noise registered by MOP sensor (threshold 300) at t=['224524', '224603'] and [2717, 2858]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 400) at t=['224547', '224603'] and [2762, 2858]AGL",,,
8/27/2024,4536-9240051951.igc,ArcusM,0:59:14,181853,191807,HOME,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=181853 and: 941 msl [3 agl]; Height gain/loss is: 1939
ArcusM Motor noise registered by ENL sensor at t=['181854', '182408'] and [13, 1998]AGL",,,,,
8/28/2024,4536-9239003643.igc,ASG29,2:49:20,175955,204915,LOUT,,,,,,
8/20/2024,4536-9240051853.igc,ArcusM, 4:57:56,195512,5308,HOME,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=004043 and: 1440 msl [706 agl]; Height gain/loss is: 2073
ArcusM Motor noise registered by ENL sensor at t=['205903', '205904', '213713', '213714', '214432', '214433', '215313', '215314', '220123', '220124', '222854', '222855', '223521', '223522', '224735', '224736', '225050', '225051', '231524', '231525', '231947', '231948', '233753', '233754', '004043', '004610'] and [4984, 4971, 5246, 5230, 5043, 5029, 4469, 4469, 5961, 5938, 6063, 6050, 4534, 4524, 4606, 4596, 4360, 4354, 4268, 4255, 4012, 4006, 6007, 5988, 706, 2716]AGL",,,,,
8/21/2024,4536-9239003459.igc,JS-3-18m, 5:06:21,190022,643,HOME,,,,,,
